,Source,Target,Weight,Type
168,Edgeworth_1811_A_2,Edgeworth_1811_A_4,3,undirected
169,Edgeworth_1811_A_2,Edgeworth_1811_A_5,4,undirected
170,Edgeworth_1811_A_3,Edgeworth_1811_A_1,5,undirected
171,Edgeworth_1811_A_3,Edgeworth_1811_A_4,1,undirected
172,Edgeworth_1811_A_3,Edgeworth_1811_A_5,4,undirected
173,Edgeworth_1811_A_4,Edgeworth_1811_A_1,4,undirected
174,Edgeworth_1811_A_4,Edgeworth_1811_A_2,3,undirected
175,Edgeworth_1811_A_4,Edgeworth_1811_A_3,1,undirected
176,Edgeworth_1811_A_4,Edgeworth_1811_A_5,2,undirected
177,Edgeworth_1811_A_5,Edgeworth_1811_A_1,6,undirected
178,Edgeworth_1811_A_5,Edgeworth_1811_A_2,4,undirected
179,Edgeworth_1811_A_5,Edgeworth_1811_A_3,4,undirected
180,Edgeworth_1811_A_5,Edgeworth_1811_A_4,2,undirected
181,Edgeworth_1814_P_1,Edgeworth_1814_P_2,1,undirected
182,Edgeworth_1814_P_1,Edgeworth_1814_P_3,2,undirected
183,Edgeworth_1814_P_1,Edgeworth_1814_P_4,5,undirected
184,Edgeworth_1814_P_1,Edgeworth_1814_P_5,5,undirected
185,Edgeworth_1814_P_2,Edgeworth_1814_P_1,1,undirected
186,Edgeworth_1814_P_2,Edgeworth_1814_P_3,5,undirected
187,Edgeworth_1814_P_2,Edgeworth_1814_P_4,6,undirected
188,Edgeworth_1814_P_2,Edgeworth_1814_P_5,1,undirected
189,Edgeworth_1814_P_3,Edgeworth_1814_P_1,2,undirected
190,Edgeworth_1814_P_3,Edgeworth_1814_P_2,5,undirected
191,Edgeworth_1814_P_3,Edgeworth_1814_P_4,3,undirected
192,Edgeworth_1814_P_3,Edgeworth_1814_P_5,2,undirected
193,Edgeworth_1814_P_4,Edgeworth_1814_P_1,5,undirected
194,Edgeworth_1814_P_4,Edgeworth_1814_P_2,6,undirected
195,Edgeworth_1814_P_4,Edgeworth_1814_P_3,3,undirected
196,Edgeworth_1814_P_5,Edgeworth_1814_P_1,5,undirected
197,Edgeworth_1814_P_5,Edgeworth_1814_P_2,1,undirected
198,Edgeworth_1814_P_5,Edgeworth_1814_P_3,2,undirected
199,Edgeworth_1817_H_1,Edgeworth_1817_H_2,5,undirected
200,Edgeworth_1817_H_1,Edgeworth_1817_H_3,3,undirected
201,Edgeworth_1817_H_1,Edgeworth_1817_H_5,2,undirected
202,Edgeworth_1817_H_2,Edgeworth_1817_H_1,5,undirected
203,Edgeworth_1817_H_2,Edgeworth_1817_H_3,5,undirected
204,Edgeworth_1817_H_2,Edgeworth_1817_H_4,3,undirected
205,Edgeworth_1817_H_2,Edgeworth_1817_H_5,2,undirected
206,Edgeworth_1817_H_3,Edgeworth_1817_H_1,3,undirected
207,Edgeworth_1817_H_3,Edgeworth_1817_H_2,5,undirected
208,Edgeworth_1817_H_3,Edgeworth_1817_H_4,6,undirected
209,Edgeworth_1817_H_4,Edgeworth_1817_H_2,3,undirected
210,Edgeworth_1817_H_4,Edgeworth_1817_H_3,6,undirected
211,Edgeworth_1817_H_4,Edgeworth_1817_H_5,4,undirected
212,Edgeworth_1817_H_5,Edgeworth_1817_H_1,2,undirected
213,Edgeworth_1817_H_5,Edgeworth_1817_H_2,2,undirected
214,Edgeworth_1817_H_5,Edgeworth_1817_H_4,4,undirected
