"","x"
"expressed",507
"nearly",507
"walked",507
"absence",506
"fate",505
"gratitude",504
"marry",504
"mothers",504
"satisfaction",504
"pity",503
"servant",503
"fitzosborn",501
"john",501
"please",501
"help",500
"oldborough",500
"proved",500
"surprised",499
"allow",497
"remain",496
"afraid",495
"hoped",494
"crawford",492
"perceived",492
"year",492
"creature",491
"act",490
"unhappy",490
"expect",489
"frequently",489
"sorry",489
"anything",488
"moments",488
"scene",488
"fond",487
"retired",487
"superior",486
"admiration",485
"wonder",485
"arrival",484
"following",484
"interrupted",484
"advantage",483
"pride",483
"lochcarron",481
"worthy",481
"excellent",478
"promised",478
"dress",477
"sweet",477
"kept",476
"lovely",476
"pass",476
"sensible",476
"charming",473
"melancholy",473
"likely",472
"god",470
"thinking",470
"opened",469
"women",466
"endeavoured",465
"second",465
"mentioned",464
"perfect",464
"struck",464
"suddenly",464
"confidence",463
"informed",462
"interesting",462
"need",462
"settled",462
"afterwards",460
"virtue",460
"arm",459
"distance",459
"isabella",459
"anxiety",458
"daughters",458
"discovered",458
"hearing",458
"judgment",457
"stranger",457
"handsome",456
"justice",456
"lay",456
"tenderness",456
"latter",455
"painful",454
"easily",452
"expression",452
"grace",452
"temper",452
"pray",451
"probably",451
"bad",450
"fancy",450
"resolved",450
"easy",449
"distress",448
"loss",448
"noble",448
"leaving",447
"equally",445
"bertram",444
"looks",443
"reached",443
"farther",442
"favourite",442
"assure",441
"work",440
"gentlemen",439
"held",438
"lived",438
"talked",438
"beheld",437
"english",437
"rose",437
"attended",436
"hardly",436
"equal",435
"private",435
"disposition",434
"deep",432
"affectionate",431
"sentiments",431
"pay",429
"knowing",428
"imagination",427
"suffered",426
"forget",425
"merely",425
"ten",425
"utmost",425
"story",424
"elwood",423
"judge",423
"lauretta",423
"wanted",423
"resolution",422
"henriquez",421
"dunotter",420
"ease",420
"understanding",420
"youth",420
"finding",419
"meeting",419
"months",418
"margaret",417
"meant",417
"delight",415
"aware",414
"cousin",414
"paid",414
"seat",414
"fears",413
"rendered",413
"unfortunate",411
"window",411
"declared",410
"information",410
"instead",409
"picture",409
"prince",409
"intelligence",408
"intended",408
"departure",407
"hall",406
"rosamond",406
"exactly",405
"four",404
"allowed",403
"cold",403
"princess",403
"portman",402
"worth",402
"attempt",401
"desired",401
"event",401
"fell",401
"harriet",401
"sufficient",401
"support",401
"accompanied",400
"delighted",400
"ground",400
"prepared",400
"chance",399
"pain",399
"countess",398
"ideas",397
"prevent",397
"behaviour",396
"chap",396
"cottage",396
"difficulty",395
"drelincourt",395
"extremely",395
"sound",395
"esteem",393
"follow",393
"instant",393
"pardon",393
"raised",393
"safety",392
"talking",392
"strange",391
"joined",390
"magdalen",390
"mistress",390
"court",389
"harrington",389
"steps",388
"close",387
"low",387
"trouble",387
"produced",386
"request",386
"week",386
"greater",385
"road",385
"generous",384
"living",384
"necessity",383
"plan",383
"proceeded",383
"thank",383
"parents",382
"rank",382
"alas",380
"greatest",380
"knows",380
"regret",380
"sake",380
"wrong",380
"affected",379
"lips",379
"william",379
"five",378
"seem",378
"serious",377
"weston",377
"send",376
"carried",375
"smiling",375
"assistance",374
"clonbrony",374
"dead",374
"advice",373
"julia",372
"possessed",372
"sad",372
"darcy",371
"maam",370
"persons",370
"prove",370
"seems",370
"forced",369
"sudden",369
"hundred",368
"various",368
"disappointment",367
"figure",367
"share",367
"spot",367
"agitation",366
"emotion",366
"estate",366
"play",366
"sorrow",366
"written",366
"heroine",365
"offered",365
"truly",365
"due",363
"surely",363
"address",362
"elegant",362
"fashion",362
"terms",362
"vanity",362
"behind",361
"listened",361
"strength",361
"directly",359
"king",359
"escape",358
"tomorrow",357
"dreadful",356
"evil",356
"service",356
"delicacy",355
"everything",355
"offer",355
"montenero",354
"suffer",354
"domestic",353
"free",353
"worse",353
"attend",351
"mistaken",351
"returning",351
"secure",351
"threw",351
"highly",350
"servants",350
"succeeded",350
"possession",349
"attached",348
"dearest",347
"force",347
"intention",347
"persuaded",347
"hastily",346
"horses",346
"pounds",346
"thy",346
"chamber",345
"montgomery",345
"gentle",344
"avoid",343
"imagine",343
"prevented",343
"quitted",343
"amongst",342
"drew",342
"niece",342
"astonishment",341
"language",341
"liberty",340
"grief",339
"interested",339
"pressed",339
"affairs",338
"deeply",338
"reply",338
"delightful",337
"fashionable",337
"fellow",337
"grateful",335
"sigh",335
"boy",333
"thrown",333
"alfred",332
"description",332
"knightley",332
"render",332
"spite",332
"tried",332
"events",331
"safe",331
"conceal",329
"generally",329
"inclination",328
"rich",328
"understood",328
"mention",327
"principles",327
"proof",327
"sooner",327
"command",326
"herbert",326
"seldom",326
"style",326
"pleasing",325
"presented",325
"nobody",324
"note",324
"contrary",323
"entrance",323
"features",323
"commissioner",321
"extraordinary",321
"value",321
"absolutely",320
"bath",320
"excuse",320
"fire",320
"laid",320
"stopped",320
"hold",319
"ladys",319
"otherwise",319
"park",319
"stand",319
"suspicion",319
"affections",318
"consideration",318
"lover",318
"fatal",317
"history",317
"show",317
"express",316
"lose",316
"parent",316
"recollection",316
"engagement",315
"elton",314
"hitherto",314
"possibly",314
"besides",313
"observation",313
"quit",313
"sitting",313
"endeavour",311
"grave",311
"occurred",311
"step",311
"success",311
"totally",310
"caught",309
"dark",309
"distant",309
"merit",309
"wait",309
"wretched",309
"art",308
"berthalina",308
"considerable",308
"earth",308
"fact",308
"innocent",308
"talents",308
"thomas",308
"occupied",307
"walpole",307
"completely",306
"spent",306
"acknowledge",305
"birth",305
"greatly",305
"introduced",305
"sleep",305
"advanced",304
"bennet",304
"church",304
"dangerous",304
"invitation",304
"misery",304
"reading",304
"warm",304
"attentions",303
"fit",303
"proud",303
"ireland",302
"although",301
"baronet",301
"confusion",301
"waiting",301
"book",300
"feared",300
"forth",300
"girls",300
"brothers",299
"spain",299
"sufficiently",299
"weeks",299
"addressed",298
"doctor",298
"alarm",297
"conviction",297
"fully",297
"immediate",296
"passing",296
"courage",295
"enjoy",295
"breakfast",294
"cant",294
"conscious",294
"disappointed",294
"folly",294
"weak",294
"changed",293
"charge",293
"choice",293
"credit",293
"maria",293
"news",293
"required",293
"street",293
"concealed",292
"forgotten",292
"miserable",292
"unable",292
"eager",291
"education",291
"join",291
"sunk",291
"horse",290
"pale",290
"sit",290
"writing",290
"agitated",289
"beg",289
"acknowledged",287
"cruel",287
"feet",287
"companions",286
"ear",285
"enter",285
"memory",285
"naturally",285
"consent",284
"convent",284
"increased",284
"single",284
"walking",284
"chair",283
"conscience",283
"lately",283
"along",282
"mowbray",282
"parties",282
"reach",282
"dashwood",281
"discovery",281
"palayo",281
"permitted",281
"pleasant",281
"protection",281
"charms",280
"instance",280
"prospect",280
"ran",280
"wholly",280
