"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11"
"1","father","sister","fanni","mrs","lord","honour","commission","mother","thing","general","ladyship"
"2","ladi","feel","cousin","time","sir","ladi","lordship","jew","bodi","brother","girl"
"3","ladyship","father","play","friend","count","master","famili","father",".--","abbey","ladi"
"4","man","pleasur","price","day","mother","hous","son","box","father","isabella","dear"
"5","charact","year","uncl","man","son","son","minist","enthusiasm","sort","heroin","thing"
"6","sir","noth","_that_","thing","lordship","man","majesti","boy","deal","pump-room","hand"
